LSOA21CD,LSOA21NM,LSOA21NMW,Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Decile (where 1 is most deprived 10% of LSOAs),,,,,,,,,,,,,,,,,,,,,Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)
E01023274,Winchester 003E,,10.158,8,0.037,9,0.037,9,4.629,9,-1.381,10,-0.672,8,38.968,1,28.503,3,,,,,,,,,,,,,,,,,,,,,3,0.467,8734,3,1912,318,1079,515,989
E01023275,Winchester 011B,,7.327,9,0.055,8,0.036,9,4.837,9,-0.789,9,-0.176,6,21.245,5,18.284,6,,,,,,,,,,,,,,,,,,,,,5,-0.154,17884,6,1448,288,706,454,740
E01023276,Winchester 011C,,3.267,10,0.044,9,0.031,10,1.966,10,-1.703,10,-0.516,8,14.819,8,6.382,9,,,,,,,,,,,,,,,,,,,,,9,-0.344,21085,7,1591,293,831,467,843
E01023277,Winchester 011D,,13.703,7,0.032,10,0.031,10,3.198,9,-1.196,10,-0.517,8,38.872,1,55.125,1,,,,,,,,,,,,,,,,,,,,,1,0.314,10552,4,1242,161,654,427,685
E01023278,Winchester 004B,,4.804,10,0.054,8,0.051,8,5.347,9,-0.994,9,-1.264,10,13.945,8,2.737,10,,,,,,,,,,,,,,,,,,,,,10,-0.629,25299,8,1575,259,748,568,754
E01023279,Winchester 004C,,3.219,10,0.031,10,0.025,10,2.377,10,-1.46,10,-1.355,10,24.249,4,2.743,10,,,,,,,,,,,,,,,,,,,,,10,-0.565,24398,8,1499,258,763,478,782
E01023280,Winchester 004D,,9.951,8,0.054,8,0.04,9,7.758,8,-0.967,9,-0.899,9,34.305,2,23.206,4,,,,,,,,,,,,,,,,,,,,,3,-0.829,27748,9,1468,271,748,449,761
E01023281,Winchester 004E,,7.683,9,0.075,7,0.057,7,11.999,7,-1.013,9,-1.877,10,15.322,7,10.05,8,,,,,,,,,,,,,,,,,,,,,6,-1.11,30335,10,1804,273,808,723,792
E01023282,Winchester 011E,,11.555,7,0.047,9,0.028,10,2.396,10,-2.13,10,0.298,4,24.473,4,50.36,1,,,,,,,,,,,,,,,,,,,,,1,0.398,9523,3,1995,345,996,654,1042
E01023285,Winchester 013E,,20.24,5,0.122,5,0.098,4,35.922,2,-0.296,7,0.238,4,12.716,8,25.484,4,,,,,,,,,,,,,,,,,,,,,5,0.826,5432,2,1674,313,810,551,819
E01023286,Winchester 001A,,10.935,8,0.043,9,0.047,8,7.855,8,-0.93,9,-0.414,7,28.683,3,36.44,2,,,,,,,,,,,,,,,,,,,,,2,-0.081,16649,6,1485,290,783,412,806
E01023287,Winchester 001B,,2.15,10,0.017,10,0.02,10,2.835,10,-1.834,10,-1.877,10,20.716,5,3.259,10,,,,,,,,,,,,,,,,,,,,,10,-0.646,25497,8,2870,596,1586,688,1604
E01023288,Winchester 001C,,18.837,5,0.052,8,0.029,10,5.958,8,-1.294,10,0.043,5,47.741,1,61.079,1,,,,,,,,,,,,,,,,,,,,,1,0.81,5569,2,1508,298,843,367,857
E01034733,Winchester 014F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01035438,Eastleigh 010F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01035441,Eastleigh 010I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
